authorId,name,url
32944428,B. Katz,https://www.semanticscholar.org/author/32944428
145736169,I. Rutter,https://www.semanticscholar.org/author/145736169
1729250,G. Woeginger,https://www.semanticscholar.org/author/1729250
2090763,Jérôme Dohrau,
145683789,B. Gartner,
145363243,Manuel Kohler,
7433494,J. Matouvsek,
1717081,E. Welzl,
2619084,B. Gärtner,
3248952,T. Hansen,
3067732,P. Hubácek,
1879916,K. Král,
47377164,Hagar Mosaad,
6213538,V. Slívová,
144378473,J. Matousek,
113429046,C. S. Karthik,
1403025161,S. KarthikC.,
1918884,John Fearnley,
2667957,M. Gairing,
1975823,M. Mnich,
2377870,Rahul Savani,
144161630,C. Kaklamanis,
83021660,D. Marx,
1759767,D. Sannella,
145187873,M. Berg,
31952285,A. Khosravi,
3300452,Andrea Munaro,
35588042,M. Magnani,https://www.semanticscholar.org/author/35588042
1794881,D. Montesi,https://www.semanticscholar.org/author/1794881
1993470,J. Wang,
3079842,Zhongxiao Hao,
24033128,Fabian Panse,
48094058,J. Wang,
2821357,L. Li,
46506118,Hongzhi Wang,
6010052,J. Li,
144415372,Hong Gao,
1703045,Z. Ésik,https://www.semanticscholar.org/author/1703045
2360252,Michael Bertol,https://www.semanticscholar.org/author/2360252
1739355,L. Aceto,
143634242,W. Fokkink,
1741835,A. Ingólfsdóttir,
1731474,M. Mousavi,
1749995,Nils Erik Flick,
145959553,M. Ito,
144073818,L. Kari,
2956645,G. Thierrin,
34890857,M. Berglund,
35183874,Henrik Björklund,
3998881,Johanna Björklund,
145289652,J. Pin,
46592326,M. Berglund,
1762196,E. Bender,https://www.semanticscholar.org/author/1762196
1701623,C. Praeger,https://www.semanticscholar.org/author/1701623
3412232,N. Wormald,https://www.semanticscholar.org/author/3412232
1723095,H. U. Simon,https://www.semanticscholar.org/author/1723095
2199026,R. Engström,
2572798,Tommy Färnqvist,
7539122,P. Jonsson,
1742753,Johan Thapper,
1727987,G. Ausiello,
2048910,V. Paschos,
46227143,P. Crescenzi,
1747198,V. Kann,
34957941,R. Silvestri,
101775153,L. Trevisan,
2230675,I. Hakala,https://www.semanticscholar.org/author/2230675
144406211,J. Kortelainen,https://www.semanticscholar.org/author/144406211
2207452,Aleksi Saarela,
78207914,S. Holub,
1714617,W. Plandowski,
1958454,P. Turakainen,
1739884,K. Schewe,https://www.semanticscholar.org/author/1739884
1734945,B. Thalheim,https://www.semanticscholar.org/author/1734945
2288285,S. Link,
1755835,A. Berztiss,
35341789,Professor Dr. Bernhard Thalheim,
1715482,E. Mayol,
1709067,Ernest Teniente,
52564434,E. Sarroca,
152253993,Ernest Teniente López,
1800122,Gabriel Ciobanu,
1698119,G. Paun,
